num,ID,field01,field02,field03,field04,field05,field06,field07
1,123111,weight1_1,weight2_1,weight3_1,weight4_1,weight5_1,weight6_1,weight7_1
2,123112,weight1_2,weight2_2,weight3_2,weight4_2,weight5_2,weight6_2,weight7_2
3,123113,weight1_3,weight2_3,weight3_3,weight4_3,weight5_3,weight6_3,weight7_3
4,123114,weight1_4,weight2_4,weight3_4,weight4_4,weight5_4,weight6_4,weight7_4
5,123115,weight1_5,weight2_5,weight3_5,weight4_5,weight5_5,weight6_5,weight7_5
6,123116,weight1_6,weight2_6,weight3_6,weight4_6,weight5_6,weight6_6,weight7_6
7,123117,weight1_7,weight2_7,weight3_7,weight4_7,weight5_7,weight6_7,weight7_7
8,123118,weight1_8,weight2_8,weight3_8,weight4_8,weight5_8,weight6_8,weight7_8
9,123119,weight1_9,weight2_9,weight3_9,weight4_9,weight5_9,weight6_9,weight7_9
10,123120,weight1_10,weight2_10,weight3_10,weight4_10,weight5_10,weight6_10,weight7_10
11,123121,weight1_11,weight2_11,weight3_11,weight4_11,weight5_11,weight6_11,weight7_11
12,123122,weight1_12,weight2_12,weight3_12,weight4_12,weight5_12,weight6_12,weight7_12
13,123123,weight1_13,weight2_13,weight3_13,weight4_13,weight5_13,weight6_13,weight7_13
14,123124,weight1_14,weight2_14,weight3_14,weight4_14,weight5_14,weight6_14,weight7_14
15,123125,weight1_15,weight2_15,weight3_15,weight4_15,weight5_15,weight6_15,weight7_15
16,123126,weight1_16,weight2_16,weight3_16,weight4_16,weight5_16,weight6_16,weight7_16
17,123127,weight1_17,weight2_17,weight3_17,weight4_17,weight5_17,weight6_17,weight7_17
18,123128,weight1_18,weight2_18,weight3_18,weight4_18,weight5_18,weight6_18,weight7_18
19,123129,weight1_19,weight2_19,weight3_19,weight4_19,weight5_19,weight6_19,weight7_19
20,123130,weight1_20,weight2_20,weight3_20,weight4_20,weight5_20,weight6_20,weight7_20
21,123131,weight1_21,weight2_21,weight3_21,weight4_21,weight5_21,weight6_21,weight7_21
22,123132,weight1_22,weight2_22,weight3_22,weight4_22,weight5_22,weight6_22,weight7_22
23,123133,weight1_23,weight2_23,weight3_23,weight4_23,weight5_23,weight6_23,weight7_23
24,123134,weight1_24,weight2_24,weight3_24,weight4_24,weight5_24,weight6_24,weight7_24
25,123135,weight1_25,weight2_25,weight3_25,weight4_25,weight5_25,weight6_25,weight7_25
26,123136,weight1_26,weight2_26,weight3_26,weight4_26,weight5_26,weight6_26,weight7_26
27,123137,weight1_27,weight2_27,weight3_27,weight4_27,weight5_27,weight6_27,weight7_27
28,123138,weight1_28,weight2_28,weight3_28,weight4_28,weight5_28,weight6_28,weight7_28
29,123139,weight1_29,weight2_29,weight3_29,weight4_29,weight5_29,weight6_29,weight7_29
30,123140,weight1_30,weight2_30,weight3_30,weight4_30,weight5_30,weight6_30,weight7_30
31,123141,weight1_31,weight2_31,weight3_31,weight4_31,weight5_31,weight6_31,weight7_31
32,123142,weight1_32,weight2_32,weight3_32,weight4_32,weight5_32,weight6_32,weight7_32
33,123143,weight1_33,weight2_33,weight3_33,weight4_33,weight5_33,weight6_33,weight7_33
34,123144,weight1_34,weight2_34,weight3_34,weight4_34,weight5_34,weight6_34,weight7_34
35,123145,weight1_35,weight2_35,weight3_35,weight4_35,weight5_35,weight6_35,weight7_35
36,123146,weight1_36,weight2_36,weight3_36,weight4_36,weight5_36,weight6_36,weight7_36
37,123147,weight1_37,weight2_37,weight3_37,weight4_37,weight5_37,weight6_37,weight7_37
38,123148,weight1_38,weight2_38,weight3_38,weight4_38,weight5_38,weight6_38,weight7_38
39,123149,weight1_39,weight2_39,weight3_39,weight4_39,weight5_39,weight6_39,weight7_39
40,123150,weight1_40,weight2_40,weight3_40,weight4_40,weight5_40,weight6_40,weight7_40