num,ID,interact_01,interact_02,interact_03,interact_04,interact_05,interact_06
1,060101A,6,6,5,6,5,3
2,060101B,1,2,2,2,2,5
3,060101C,1,1,2,1,1,6
4,060101D,2,1,1,1,1,2
5,060102A,2,4,5,6,6,7
6,060102B,1,1,1,1,1,6
7,060102C,2,1,1,1,1,5
8,060102D,2,1,1,1,2,4
9,060201A,3,3,4,4,2,5
10,060201B,2,2,1,1,2,4
11,060201C,1,1,1,1,2,5
12,060201D,1,1,1,2,2,4
13,060202A,1,5,1,3,3,6
14,060202B,2,2,2,1,2,5
15,060202C,1,1,1,1,1,6
16,060202D,1,1,1,1,1,5
17,060203A,2,2,3,3,1,4
18,060203B,1,1,1,1,1,6
19,060203C,1,1,1,1,1,4
20,060203D,3,3,3,2,2,5
21,060301A,4,3,2,7,3,4
22,060301B,2,1,1,1,2,5
23,060301C,2,2,3,2,2,5
24,060301D,1,1,2,1,2,5
25,060302A,1,5,5,7,1,7
26,060302B,1,1,1,1,1,5
27,060302C,1,1,2,2,1,3
28,060302D,3,3,3,1,3,6
29,060401A,1,1,2,4,1,6
30,060401B,4,2,5,1,4,4
31,060401C,1,1,1,1,1,5
32,060401D,1,1,2,1,2,6
33,060402A,3,5,4,5,3,6
34,060402B,1,1,2,1,1,5
35,060402C,1,1,1,1,1,6
36,060402D,1,1,1,1,1,6
37,060601A,3,4,4,4,3,5
38,060601B,3,2,2,2,2,5
39,060601C,2,1,1,1,1,4
40,060601D,1,1,1,1,1,6
41,060602A,2,3,2,2,2,4
42,060602B,1,2,6,1,2,6
43,060602C,1,1,2,1,1,6
44,060602D,1,1,1,1,1,4
45,060701A,2,5,3,5,2,5
46,060701B,2,3,4,3,4,5
47,060701C,3,1,2,2,4,6
48,060701D,2,2,1,1,2,6
49,060702A,2,1,1,1,3,4
50,060702B,2,1,1,1,2,5
51,060702C,1,1,1,1,1,4
52,060702D,2,2,1,1,1,4
53,060901A,5,6,5,5,5,4
54,060901B,4,4,3,3,3,5
55,060901C,2,2,1,2,2,4
56,060901D,2,2,2,2,2,6
57,060902A,2,1,3,1,1,6
58,060902B,1,1,1,1,2,5
59,060902C,1,1,1,1,1,5
60,060902D,1,1,3,4,1,4
61,061001A,2,1,1,1,1,4
62,061001B,1,2,1,1,2,4
63,061001C,1,1,2,1,1,4
64,061001D,1,2,2,1,2,4
65,061002A,2,2,1,1,2,4
66,061002B,1,1,3,1,1,5
67,061002C,1,1,1,1,1,7
68,061002D,4,3,3,3,3,4
69,061003A,1,1,2,1,1,4
70,061003B,1,1,1,1,1,3
71,061003C,3,2,2,2,3,5
72,061003D,1,1,2,2,1,4
73,061004A,1,1,1,1,1,5
74,061004B,2,1,1,1,3,3
75,061004C,1,1,1,1,1,5
76,061004D,1,1,1,1,1,3
77,061101A,2,4,3,5,1,6
78,061101B,2,4,5,1,5,2
79,061101C,2,1,2,1,1,4
80,061101D,1,1,1,1,1,6
81,061102A,1,2,1,4,1,3
82,061102B,2,1,2,1,2,4
83,061102C,3,2,1,2,4,6
84,061102D,1,1,1,1,1,6
85,061301A,1,1,1,1,1,4
86,061301B,2,2,2,2,2,5
87,061301C,1,1,2,1,1,6
88,061301D,3,5,3,2,1,3
89,061302A,3,1,1,1,2,6
90,061302B,2,1,1,1,2,4
91,061302C,2,2,1,1,2,5
92,061302D,2,3,3,1,2,5
93,061303A,3,3,3,4,3,6
94,061303B,1,1,1,1,2,7
95,061303C,1,1,1,1,1,5
96,061303D,2,3,4,4,3,5
97,061304A,1,1,1,3,3,6
98,061304B,1,1,1,1,3,4
99,061304C,1,1,2,1,2,6
100,061304D,2,3,4,3,2,4
101,061401A,3,3,3,4,3,5
102,061401B,1,1,2,1,3,5
103,061401C,1,1,1,1,1,7
104,061401D,1,3,2,5,6,4
105,061402A,4,3,2,6,6,4
106,061402B,1,2,1,1,3,5
107,061402C,2,1,2,1,2,5
108,061402D,1,1,1,1,1,6
109,061501A,1,3,3,3,1,4
110,061501B,2,1,2,3,3,4
111,061501C,1,2,2,1,2,5
112,061501D,1,2,2,1,2,5
113,061502A,1,1,1,1,2,4
114,061502B,1,1,1,1,1,6
115,061502C,3,1,1,1,1,5
116,061502D,1,1,1,1,1,5
117,061601A,2,3,3,2,1,5
118,061601B,1,2,1,3,2,2
119,061601C,2,1,1,2,1,7
120,061601D,1,1,1,1,1,6
121,061602A,5,5,5,5,4,6
122,061602B,1,1,1,1,1,3
123,061602C,2,2,2,2,2,4
124,061602D,5,5,4,5,4,6
125,061801A,3,5,5,4,4,6
126,061801B,5,2,2,3,4,6
127,061801C,1,1,2,3,2,5
128,061801D,1,1,1,1,1,3
129,061802A,1,1,1,3,1,3
130,061802B,1,1,1,2,1,7
131,061802C,3,3,3,3,3,4
132,061802D,1,1,1,1,1,6
133,061901A,1,3,2,4,1,7
134,061901B,2,2,3,2,2,6
135,061901C,1,1,1,1,1,2
136,061901D,1,1,1,1,1,4
137,061902A,1,1,1,1,1,5
138,061902B,2,5,3,3,2,6
139,061902C,1,1,1,1,2,7
140,061902D,1,1,1,1,1,2
141,062001A,2,2,2,3,3,3
142,062001B,7,1,1,1,2,4
143,062001C,2,2,3,2,3,4
144,062001D,1,2,1,4,2,4
145,062002A,1,2,1,2,1,5
146,062002B,1,1,1,1,1,2
147,062002C,1,1,1,1,1,5
148,062002D,3,1,1,1,2,6