num,ID,age
1,1203472,26
2,1203471,24
3,1203465,22
4,1203464,24
5,1203453,24
6,1203452,24
7,1203450,25
8,1203446,25
9,1203445,23
10,1203438,20
11,1203436,21
12,1203435,22
13,1203434,19
14,1203433,21
15,1203432,26
16,1203431,26
17,1203430,20
18,1203428,22
19,1203425,21
20,1203422,26
21,1203420,23
22,1203417,20
23,1203414,22
24,1203413,24
25,1203412,22
26,1203410,23
27,1203409,22
28,1203407,26
29,1203406,24
30,1203403,20
31,1203402,22
32,1203401,21
33,1203400,35
34,1203397,23
35,1203393,20
36,1203391,24
37,1203385,24
38,1203383,25
39,1203382,23
40,1203381,22
41,1203380,25
42,1203376,24
43,1203375,26
44,1203373,24
45,1203369,23
46,1203368,23
47,1203366,24
48,1203365,24
49,1203361,21
50,1203359,24
51,1203358,24
52,1203356,20
53,1203355,25
54,1203351,22
55,1203350,20
56,1203344,20