num,ID,field_01,field_02,field_03,field_04,field_05,masterDegree_01,masterDegree_02,masterDegree_03,masterDegree_04,masterDegree_05
1,1203472,热量传递,质量传递,低温蒸发,鼓泡塔,流体力学,5,5,2,4,4
2,1203471,算法,人工智能,数据库,程序设计,数据结构,5,6,5,5,5
3,1203465,地理,会计,英语,数学,投资,4,4,4,3,1
4,1203464,写作,传播,新闻,摄影,沟通,6,5,6,4,5
5,1203453,植物识别,植物搭配,人群需求调研,专业软件运用,景观设计,5,5,3,3,2
6,1203452,英文,日语,园艺学,生物学,果树学,6,5,5,5,5
7,1203450,写作,法律诉讼,尽职调查,思想宣讲,跳舞,6,6,6,5,4
8,1203446,口腔医学,中国古代历史,软笔书法,日本史,R语言,6,5,7,3,5
9,1203445,植物学,生物学,地理学,摄影,户外,6,6,4,3,3
10,1203438,羽毛球,声乐,生物学科学习,presentation,社交,4,6,5,6,6
11,1203436,逻导,语言学,比较文学,古汉,现当代文学,4,5,3,4,3
12,1203435,长跑,下象棋,修图,写推文,打篮球,6,7,7,7,6
13,1203434,markdown,线性代数,微积分,英语,电脑拆机,3,6,4,5,2
14,1203433,有机化学,演讲,物理化学,分析化学,无机化学,5,4,4,4,3
15,1203432,Rhino,CAD,SU,3DMAX,MAYA,6,7,7,6,6
16,1203431,食品微生物,数码,新闻,健身,地理,5,5,4,4,4
17,1203430,共情,统计,阅读,实验法,管理,3,4,2,5,3
18,1203428,历史,股票,建筑,室内设计,文学,4,5,5,5,3
19,1203425,临床医学,公共卫生,高中数学,高中物理,IU,5,5,5,5,6
20,1203422,大尺度空间规划,社会事件推动下的空间演进,空间作为生活的容器,建筑现象学,建筑历史,5,6,5,3,3
21,1203420,中文,游戏,音乐,绘画,历史,5,4,4,4,5
22,1203417,微观经济学,宏观经济学,管理会计,会计学,中级财务会计,5,3,6,6,5
23,1203414,数学,语文,英语,物理,化学,5,4,3,2,2
24,1203413,作图设计,结构计算,材料分析,数值模拟,基金股票,4,5,5,3,3
25,1203412,食品营养学,马克思主义等共产主义理论,食品化学,社会心理学,植物识别,5,5,5,3,3
26,1203410,磁共振,人工智能,深度学习,开发,烘焙,6,5,5,5,3
27,1203409,基础数学学科,matlab,电力系统方向相关课程,office,单片机,6,5,4,6,3
28,1203407,T细胞,细胞耗竭,RNA,蛋白翻译组学,活性氧,6,7,5,6,5
29,1203406,电机,自动化,电力系统,控制,潮流,6,5,5,4,4
30,1203403,阅读理解,文本分析,语言交际,公共表达,写作,6,6,6,5,6
31,1203402,自动控制理论,编程,中国古代历史,中国古代诗词,中国自然地理,4,5,3,2,2
32,1203401,中国政治,比较政治,政治思想史,古代政治,西方政治,6,5,4,3,3
33,1203400,临床医学,病人照顾,儿童健康,癌症知识,健康保健,5,7,6,5,6
34,1203397,内科学,英语,细菌,音乐,绘画,4,3,3,2,2
35,1203393,会计学,经济学,管理学,历史,摇滚乐,6,4,6,3,4
36,1203391,历史,数学,物理,水利,市政,3,5,4,5,6
37,1203385,食品生产加工的规范,食品安全问题,食品安全问题的监管,动物实验,qPCR,4,4,4,6,6
38,1203383,法语,文学,pascal编程,书法,小提琴,6,5,3,6,2
39,1203382,环境评价,基因克隆,水稻杂交,植物生理学,玉米栽培,5,5,5,2,5
40,1203381,缓冲气囊,翼伞,总体设计,有限元仿真,结构设计,6,4,4,5,4
41,1203380,内科,心内科,心衰,临床,操作,5,5,6,5,5
42,1203376,阅读,学习新知识,规划项目,沟通,组织,5,4,6,4,5
43,1203375,社会分层理论,产业融合理论,激励理论,产业结构理论,边际效用,3,6,5,4,7
44,1203373,环境工程,污染治理,土壤学,数学分析,烘焙,3,3,4,3,5
45,1203369,二语习得,心理语言学,英美文学,翻译学,话语分析,6,4,6,5,6
46,1203368,人文地理,自然地理,大气科学,python,SQL,6,6,5,3,4
47,1203366,历史,资源,环境,材料,文学,5,4,4,4,6
48,1203365,马克思主义政治经济学,中国特色社会主义,国际政治,中国外交思想,哲学与文化,6,6,6,5,3
49,1203361,比较文学,现当代文学,音韵学,哲学,传播学,4,5,5,5,3
50,1203359,流动儿童,社会融入,结构方程,留守儿童,社会资本,5,5,5,5,5
51,1203358,电机,电力系统分析,高电压,计算方法,java,5,4,5,4,4
52,1203356,自动控制原理,C++,python,自动泊车轨迹规划,跟踪控制器设计,7,5,6,6,6
53,1203355,生物,昆虫学,植物学,分子生物学,遗传学,5,6,5,6,6
54,1203351,骑行,钢琴,跑步,经济,金融,6,5,5,5,6
55,1203350,数学,计算机编程,小提琴,声乐,吉他,5,6,4,6,3
56,1203344,历史,俄语,英语,政治,计算机,5,6,5,4,2