num,ID,computer_01,computer_02,computer_03,computer_04,computer_05,computer_06,computer_07
1,1203507,4,5,4,4,4,4,3
2,1203506,5,6,6,5,6,5,4
3,1203497,7,7,5,6,7,3,7
4,1203494,5,5,4,5,4,4,5
5,1203493,5,5,5,4,4,3,3
6,1203492,5,5,6,5,2,2,2
7,1203491,4,6,4,4,4,5,4
8,1203490,6,6,3,3,6,7,6
9,1203489,5,5,5,4,5,2,2
10,1203487,5,5,5,6,4,6,5
11,1203486,4,5,3,1,2,3,5
12,1203485,3,3,2,1,2,1,1
13,1203477,2,6,4,4,5,5,5
14,1203476,4,4,5,2,4,4,2
15,1203474,6,6,6,6,6,6,1
16,1203467,6,6,1,3,6,6,7
17,1203455,6,7,5,4,6,7,3
18,1203441,4,4,4,4,2,4,1
19,1203419,7,2,2,3,5,3,5
20,1203415,5,5,6,6,6,6,5
21,1203411,1,2,5,1,1,1,1
22,1203408,6,5,4,4,5,6,3
23,1203398,3,4,3,2,3,2,3
24,1203395,6,5,4,4,6,6,4
25,1203394,5,5,4,4,6,6,6
26,1203392,6,6,4,4,6,6,4
27,1203389,5,4,5,4,4,5,4
28,1203388,6,6,6,6,6,4,4
29,1203387,6,5,3,6,5,2,6
30,1203386,6,6,6,6,6,3,3
31,1203384,5,5,4,4,6,7,3
32,1203378,7,7,7,5,3,3,1
33,1203377,5,5,5,3,5,2,1
34,1203372,5,4,5,6,4,6,4
35,1203370,5,5,4,4,4,7,4
36,1203367,3,5,4,5,5,3,4
37,1203363,4,5,4,2,4,1,1
38,1203362,4,6,6,5,3,3,3
39,1203352,4,4,5,3,3,6,2
40,1203323,6,4,4,3,5,3,4